population_id	population_label	cl_id	matching_positive	missing_positive	extra_positive	matching_negative	missing_negative	extra_negative
intermediate_mono	Intermediate Monocyte	CL:0000875	-	CD14 (pr:000001002); CD16 (pr:000001005); CD45 (pr:000001309)	pr:000000001; pr:000001094; pr:000001128; pr:000001206; pr:000018263; pr:000030035; pr:000064867	CD19 (pr:000001020)	CD3 (pr:000000927); CD56 (pr:000001380)	pr:000000001; CD14 (pr:000001002); pr:000001018; pr:000001289; pr:000018263; pr:000064867
neutrophil	Neutrophil	CL:0000775	CD16 (pr:000001005)	CD45 (pr:000001309)	pr:000000001; pr:000001012; pr:000001332; pr:000001355; pr:000001479; pr:000001879; pr:000001969; pr:000018263; pr:000025796; pr:000064867	CD14 (pr:000001002); CD19 (pr:000001020)	CD3 (pr:000000927); CD56 (pr:000001380)	pr:000000001; pr:000001018; pr:000001022; pr:000001023; pr:000001024; pr:000001084; pr:000018263; pr:000064867
eosinophil	Eosinophil	CL:0000771	-	CD193 (pr:000001074); CD45 (pr:000001309)	pr:000000001; CD16 (pr:000001005); pr:000001012; pr:000001094; pr:000001128; pr:000001197; pr:000001254; pr:000001255; pr:000001307; pr:000001332; pr:000001343; pr:000001403; pr:000001969; pr:000005178; pr:000018263; pr:000025796; pr:000030035; pr:000064867	CD14 (pr:000001002); CD19 (pr:000001020)	CD3 (pr:000000927); CD56 (pr:000001380)	pr:000000001; pr:000001018; pr:000001022; pr:000001023; pr:000001024; pr:000001084; pr:000018263; pr:000064867
basophil	Basophil	CL:0000767	-	CD193 (pr:000001074); CD123 (pr:000001199); CD45 (pr:000001309)	pr:000000001; CD16 (pr:000001005); pr:000001012; pr:000001094; pr:000001128; pr:000001197; pr:000001255; pr:000001332; pr:000001344; pr:000001355; pr:000001865; pr:000001950; pr:000001969; pr:000007431; pr:000018263; pr:000025796; pr:000030035; pr:000064867	CD14 (pr:000001002)	-	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000001022; pr:000001023; pr:000001024; pr:000001084; pr:000018263; pr:000064867
pdc	Plasmacytoid Dendritic Cell	CL:0000784	-	CD123 (pr:000001199); CD45 (pr:000001309)	-	CD14 (pr:000001002)	-	pr:000000001; pr:000001003; pr:000001018; CD19 (pr:000001020); pr:000001022; pr:000001023; pr:000001024; pr:000001289; pr:000018263; pr:000064867
mdc	Myeloid Dendritic Cell	CL:0000782	-	CD11c (pr:000000999); CD45 (pr:000001309); HLA-DR (pr:000002015)	pr:000000001; CD16 (pr:000001005); pr:000001013; pr:000018263; pr:000025796; pr:000064867	CD19 (pr:000001020)	CD127 (pr:000001127); CD123 (pr:000001199); CD56 (pr:000001380)	pr:000000001; CD14 (pr:000001002); pr:000001003; pr:000001018; pr:000001022; pr:000001023; pr:000001024; pr:000001289; pr:000001865; pr:000018263; pr:000064867
ilc	Innate Lymphoid Cell	CL:0001065	-	CD127 (pr:000001127); CD45 (pr:000001309)	-	CD14 (pr:000001002)	CD34 (pr:000000942)	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000018263; pr:000064867
ilc1	Type 1 Innate Lymphoid Cell	CL:0001141	-	CD127 (pr:000001127); CD45 (pr:000001309)	CL term not found	-	CD34 (pr:000000942); CD14 (pr:000001002)	CL term not found
ilc2	Type 2 Innate Lymphoid Cell	CL:0001067	-	CD127 (pr:000001127); CD45 (pr:000001309); CD294 (pr:000001848)	-	CD14 (pr:000001002)	CD34 (pr:000000942)	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000018263; pr:000064867
ilc3	Type 3 Innate Lymphoid Cell	CL:0001068	-	CD117 (pr:000001014); CD127 (pr:000001127); CD45 (pr:000001309)	-	CD14 (pr:000001002)	CD34 (pr:000000942)	pr:000000001; pr:000001018; CD19 (pr:000001020); pr:000018263; pr:000064867
